timestamp,symbol,open,high,low,close,weighted_price,volume
2017-10-01 13:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,5602.58493201
2017-10-01 14:00:00+00,BTCUSD,4283.00,4295.00,4275.00,4289.00,4286.47,265.26201233
2017-10-01 14:00:00+00,ETHUSD,297.11,298.06,297.10,298.04,297.60,846.00160621
2017-10-01 14:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,12224.47780152
2017-10-01 14:15:00+00,BTCUSD,4288.90,4295.00,4286.00,4292.40,4291.36,210.58788404
2017-10-01 14:15:00+00,ETHUSD,298.04,298.79,298.00,298.40,298.38,904.54806446
2017-10-01 14:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,29043.85051276
2017-10-01 14:30:00+00,BTCUSD,4292.60,4293.10,4286.00,4289.60,4289.45,185.74818338
2017-10-01 14:30:00+00,ETHUSD,298.59,298.59,298.04,298.04,298.18,435.25470076
2017-10-01 14:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,8871.48587103
2017-10-01 14:45:00+00,BTCUSD,4289.60,4294.90,4288.50,4290.20,4291.11,133.91299037
2017-10-01 14:45:00+00,ETHUSD,298.04,299.01,298.00,298.13,298.38,1230.35037611
2017-10-01 14:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,27561.02607502
2017-10-01 15:00:00+00,BTCUSD,4290.90,4292.70,4276.90,4291.70,4286.93,183.43654356
2017-10-01 15:00:00+00,ETHUSD,298.13,298.47,297.72,298.30,298.03,1035.34184476
2017-10-01 15:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,17788.10081300
2017-10-01 15:15:00+00,BTCUSD,4292.10,4295.60,4290.30,4291.10,4293.31,149.52595104
2017-10-01 15:15:00+00,ETHUSD,298.32,298.76,297.49,298.21,298.30,1037.51230788
2017-10-01 15:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,58592.51675226
2017-10-01 15:30:00+00,BTCUSD,4291.40,4294.40,4288.90,4291.00,4290.95,71.09330150
2017-10-01 15:30:00+00,ETHUSD,298.21,298.47,297.83,297.95,298.19,430.67657555
2017-10-01 15:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,4447.66403800
2017-10-01 15:45:00+00,BTCUSD,4291.00,4322.40,4291.00,4315.60,4307.19,515.74026967
2017-10-01 15:45:00+00,ETHUSD,297.95,300.26,297.76,299.51,299.58,2388.75200626
2017-10-01 15:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,35577.73959726
2017-10-01 16:00:00+00,BTCUSD,4315.80,4319.00,4310.50,4318.70,4315.62,214.76533449
2017-10-01 16:00:00+00,ETHUSD,299.77,301.50,299.34,300.33,300.62,2900.15119088
2017-10-01 16:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,16494.56421755
2017-10-01 16:15:00+00,BTCUSD,4318.70,4325.00,4315.20,4317.00,4319.96,111.27056147
2017-10-01 16:15:00+00,ETHUSD,300.38,301.51,300.37,301.10,301.17,2215.57268749
2017-10-01 16:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,114639.19603870
2017-10-01 16:30:00+00,BTCUSD,4317.00,4325.00,4316.10,4322.20,4321.39,192.65197385
2017-10-01 16:30:00+00,ETHUSD,301.10,302.18,301.10,301.20,301.38,1915.47286265
2017-10-01 16:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,23550.93038836
2017-10-01 16:45:00+00,BTCUSD,4322.20,4322.20,4308.90,4309.00,4315.85,95.83087764
2017-10-01 16:45:00+00,ETHUSD,301.20,301.26,300.46,300.49,300.95,1020.20542901
2017-10-01 16:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,27110.49370500
2017-10-01 17:00:00+00,BTCUSD,4308.90,4315.00,4305.00,4311.00,4308.85,145.93960210
2017-10-01 17:00:00+00,ETHUSD,300.49,300.66,300.00,300.48,300.09,1134.58260603
2017-10-01 17:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,39045.85870573
2017-10-01 17:15:00+00,BTCUSD,4311.50,4313.10,4304.10,4304.60,4308.03,46.80710296
2017-10-01 17:15:00+00,ETHUSD,300.30,300.45,300.00,300.00,300.14,428.22478879
2017-10-01 17:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,16274.60408656
2017-10-01 17:30:00+00,BTCUSD,4304.60,4310.00,4289.50,4289.80,4299.26,318.60757339
2017-10-01 17:30:00+00,ETHUSD,300.00,301.14,300.00,300.57,300.47,1395.91696619
2017-10-01 17:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,72418.74767175
2017-10-01 17:45:00+00,BTCUSD,4289.70,4312.80,4289.60,4305.20,4296.37,215.31084877
2017-10-01 17:45:00+00,ETHUSD,300.20,301.84,300.12,301.31,300.94,1259.20818717
2017-10-01 17:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,2.00000000
2017-10-01 18:00:00+00,BTCUSD,4305.20,4315.00,4301.20,4303.80,4308.00,86.15281034
2017-10-01 18:00:00+00,ETHUSD,301.31,301.96,300.36,300.88,301.23,1122.97018686
2017-10-01 18:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,1225.40335840
2017-10-01 18:15:00+00,BTCUSD,4303.40,4304.00,4297.60,4300.90,4301.15,64.69835343
2017-10-01 18:15:00+00,ETHUSD,300.92,300.96,300.18,300.59,300.47,563.32345671
2017-10-01 18:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,17624.92957056
2017-10-01 18:30:00+00,BTCUSD,4300.90,4321.50,4300.10,4321.30,4309.90,111.41238262
2017-10-01 18:30:00+00,ETHUSD,300.51,301.46,300.41,301.38,300.91,596.38595093
2017-10-01 18:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,7951.73832764
2017-10-01 18:45:00+00,BTCUSD,4321.60,4324.70,4309.30,4323.90,4318.19,177.67346351
2017-10-01 18:45:00+00,ETHUSD,301.50,301.80,301.20,301.80,301.55,816.98119531
2017-10-01 18:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,52678.85378974
2017-10-01 19:00:00+00,BTCUSD,4323.80,4330.00,4320.10,4328.90,4326.62,169.81811326
2017-10-01 19:00:00+00,ETHUSD,301.80,301.99,301.78,301.98,301.88,558.01139323
2017-10-01 19:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,17232.91205491
2017-10-01 19:15:00+00,BTCUSD,4328.60,4332.40,4316.30,4317.90,4327.04,48.15126717
2017-10-01 19:15:00+00,ETHUSD,301.98,302.49,301.75,301.76,302.23,688.50746768
2017-10-01 19:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,6869.89154748
2017-10-01 19:30:00+00,BTCUSD,4318.60,4328.10,4318.50,4323.90,4324.92,32.44298211
2017-10-01 19:30:00+00,ETHUSD,301.76,302.36,301.70,301.85,301.86,458.71198773
2017-10-01 19:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,20383.57772673
2017-10-01 19:45:00+00,BTCUSD,4324.00,4330.90,4312.80,4315.80,4319.93,204.16898827
2017-10-01 19:45:00+00,ETHUSD,301.86,301.91,300.69,300.90,301.22,1093.80904293
